"division","line","station_location"
"IRT","Flushing","(40.755882, -74.00191)"
"IND","8 Avenue","(40.740893, -74.00169)"
"BMT","Canarsie","(40.739777, -74.002578)"
"IRT","Broadway-7th Ave","(40.737826, -74.000201)"
"IRT","Broadway-7th Ave","(40.733422, -74.002906)"
"IND","8 Avenue","(40.732338, -74.000495)"
"IRT","Broadway-7th Ave","(40.728251, -74.005367)"
"IND","8 Avenue","(40.726227, -74.003739)"
"IRT","Broadway-7th Ave","(40.722854, -74.006277)"
"IRT","Broadway-7th Ave","(40.719318, -74.006886)"
"IND","8 Avenue","(40.720824, -74.005229)"
"BMT","Broadway","(40.719527, -74.001775)"
"IRT","Lexington","(40.718803, -74.000193)"
"BMT","Nassau","(40.71419, -74.003199)"
"IRT","Lexington","(40.713889, -74.003654)"
"IRT","Lexington","(40.713813, -74.003907)"
"BMT","Nassau","(40.713243, -74.003401)"
"IRT","Lexington","(40.712868, -74.004806)"
"IRT","Lexington","(40.712723, -74.004971)"
"IRT","Lexington","(40.712333, -74.004387)"
"IRT","Lexington","(40.711824, -74.005057)"
"IRT","Lexington","(40.711857, -74.005114)"
"BMT","Broadway","(40.713282, -74.006978)"
"IRT","Lexington","(40.713065, -74.004131)"
"IND","8 Avenue","(40.714111, -74.008585)"
"IRT","Clark","(40.713051, -74.008811)"
"IND","8 Avenue","(40.712582, -74.009781)"
"IRT","Broadway-7th Ave","(40.715478, -74.009266)"
"IRT","Lexington","(40.704817, -74.014065)"
"IRT","Clark","(40.706821, -74.0091)"
"BMT","Nassau","(40.706476, -74.011056)"
"IRT","Broadway-7th Ave","(40.707513, -74.013783)"
"BMT","Broadway","(40.70722, -74.013342)"
"IRT","Lexington","(40.707557, -74.011862)"
"BMT","Broadway","(40.710668, -74.011029)"
"IRT","Lexington","(40.710368, -74.009509)"
"IRT","Clark","(40.709416, -74.006571)"
"BMT","Nassau","(40.710374, -74.007582)"
"IND","8 Avenue","(40.710197, -74.007691)"
"BMT","Broadway","(40.703087, -74.012994)"
"IRT","Broadway-7th Ave","(40.702068, -74.013664)"
"BMT","4 Avenue","(40.655144, -74.003549)"
"BMT","4 Avenue","(40.648939, -74.010006)"
"BMT","4 Avenue","(40.645069, -74.014034)"
"BMT","4 Avenue","(40.641362, -74.017881)"
"BMT","4 Avenue","(40.629742, -74.02551)"
"BMT","4 Avenue","(40.634967, -74.023377)"
"BMT","Sea Beach","(40.635064, -74.011719)"
"BMT","Sea Beach","(40.631386, -74.005351)"
"BMT","4 Avenue","(40.622687, -74.028398)"
"BMT","4 Avenue","(40.616622, -74.030876)"
"BMT","West End","(40.613501, -74.00061)"
"BMT","West End","(40.607954, -74.001736)"
"BMT","Brighton","(40.577422, -73.981233)"
"BMT","Brighton","(40.576127, -73.975939)"
"BMT","Brighton","(40.577621, -73.961376)"
"BMT","Brighton","(40.576312, -73.968501)"
"BMT","Brighton","(40.586896, -73.954155)"
"BMT","Sea Beach","(40.592721, -73.97823)"
"BMT","West End","(40.588841, -73.983765)"
"IND","Culver","(40.58962, -73.97425)"
"IND","Culver","(40.581011, -73.974574)"
"BMT","West End","(40.597704, -73.986829)"
"BMT","Sea Beach","(40.597473, -73.979137)"
"IND","Culver","(40.596063, -73.973357)"
"BMT","Sea Beach","(40.603923, -73.980353)"
"IND","Culver","(40.603217, -73.972361)"
"IND","Culver","(40.608944, -73.973022)"
"BMT","West End","(40.601875, -73.993728)"
"BMT","West End","(40.604556, -73.998168)"
"BMT","West End","(40.619589, -73.998864)"
"BMT","Sea Beach","(40.624842, -73.996353)"
"BMT","Sea Beach","(40.620671, -73.990414)"
"BMT","Sea Beach","(40.61741, -73.985026)"
"IND","Culver","(40.620769, -73.975264)"
"IND","Culver","(40.61514, -73.974197)"
"BMT","Sea Beach","(40.611815, -73.981848)"
"BMT","Brighton","(40.617618, -73.959399)"
"BMT","Brighton","(40.60867, -73.957734)"
"BMT","Brighton","(40.5993, -73.955929)"
"BMT","Brighton","(40.595246, -73.955161)"
"IND","Rockaway","(40.580903, -73.835592)"
"IND","Rockaway","(40.585307, -73.820558)"
"IND","Rockaway","(40.583209, -73.827559)"
"IND","Rockaway","(40.588034, -73.813641)"
"IND","Rockaway","(40.608382, -73.815925)"
"IND","Rockaway","(40.603995, -73.755405)"
"IND","Rockaway","(40.595398, -73.768175)"
"IND","Rockaway","(40.600066, -73.761353)"
"IND","Rockaway","(40.592943, -73.776013)"
"IND","Rockaway","(40.592374, -73.788522)"
"IND","Rockaway","(40.590927, -73.796924)"
"IRT","Flushing","(40.749865, -73.8627)"
"IRT","Flushing","(40.749145, -73.869527)"
"IND","Queens Boulevard","(40.733106, -73.869229)"
"IND","Queens Boulevard","(40.729846, -73.861604)"
"IND","Queens Boulevard","(40.726523, -73.852719)"
"IND","Queens Boulevard","(40.721691, -73.844521)"
"IND","Queens Boulevard","(40.709179, -73.820574)"
"IND","Queens Boulevard","(40.714441, -73.831008)"
"IND","Queens Boulevard","(40.718331, -73.837324)"
"BMT","Broadway Jamaica","(40.692435, -73.86001)"
"BMT","Broadway Jamaica","(40.689941, -73.87255)"
"BMT","Broadway Jamaica","(40.691324, -73.867139)"
"BMT","Broadway Jamaica","(40.693879, -73.851576)"
"BMT","Broadway Jamaica","(40.695178, -73.84433)"
"BMT","Broadway Jamaica","(40.697418, -73.836345)"
"BMT","Broadway Jamaica","(40.700492, -73.828294)"
"IND","Archer Av","(40.702566, -73.816859)"
"IND","Archer Av","(40.702147, -73.801109)"
"IND","Archer Av","(40.700486, -73.807969)"
"IND","Queens Boulevard","(40.70546, -73.810708)"
"IND","Queens Boulevard","(40.707564, -73.803326)"
"IND","Queens Boulevard","(40.712646, -73.783817)"
"IND","Queens Boulevard","(40.71047, -73.793604)"
"IND","Rockaway","(40.660476, -73.830301)"
"IND","Rockaway","(40.668234, -73.834058)"
"IND","Rockaway","(40.672131, -73.835812)"
"IND","Liberty","(40.685951, -73.825798)"
"IND","Liberty","(40.684331, -73.832163)"
"IND","Liberty","(40.681711, -73.837683)"
"IND","Liberty","(40.679843, -73.85147)"
"IND","Liberty","(40.680429, -73.843853)"
"IND","Liberty","(40.679371, -73.858992)"
"IND","Liberty","(40.677044, -73.86505)"
"IND","Fulton","(40.675377, -73.872106)"
"BMT","Broadway Jamaica","(40.683194, -73.873785)"
"BMT","Broadway Jamaica","(40.679947, -73.884639)"
"BMT","Broadway Jamaica","(40.68141, -73.880039)"
"IND","Fulton","(40.67413, -73.88075)"
"IND","Fulton","(40.67271, -73.890358)"
"BMT","Broadway Jamaica","(40.678024, -73.891688)"
"IND","Fulton","(40.674542, -73.896548)"
"BMT","Canarsie","(40.675345, -73.903097)"
"BMT","Broadway Jamaica","(40.676992, -73.898654)"
"IND","Fulton","(40.678334, -73.905316)"
"BMT","Canarsie","(40.682829, -73.905249)"
"BMT","Broadway Jamaica","(40.682893, -73.910456)"
"BMT","Broadway Jamaica","(40.68637, -73.916559)"
"IND","Fulton","(40.679364, -73.930729)"
"IND","Fulton","(40.678822, -73.920786)"
"IND","Fulton","(40.67834, -73.911946)"
"IRT","Eastern Parkway","(40.668897, -73.932942)"
"IRT","New Lots","(40.664717, -73.92261)"
"IRT","New Lots","(40.661453, -73.916327)"
"IRT","New Lots","(40.662549, -73.908946)"
"BMT","Canarsie","(40.658733, -73.899232)"
"BMT","Canarsie","(40.664038, -73.900571)"
"IRT","New Lots","(40.663515, -73.902447)"
"BMT","Canarsie","(40.669367, -73.901975)"
"IRT","New Lots","(40.664635, -73.894895)"
"IRT","New Lots","(40.665449, -73.889395)"
"IRT","New Lots","(40.666235, -73.884079)"
"BMT","Canarsie","(40.650573, -73.899485)"
"BMT","Canarsie","(40.646654, -73.90185)"
"BMT","Canarsie","(40.645757, -73.9025)"
"BMT","Canarsie","(40.645957, -73.901741)"
"IRT","Nostrand","(40.650843, -73.949575)"
"BMT","Brighton","(40.655292, -73.961495)"
"BMT","Brighton","(40.650527, -73.962982)"
"BMT","Brighton","(40.644031, -73.964492)"
"BMT","Brighton","(40.640927, -73.963891)"
"IRT","Nostrand","(40.645098, -73.948959)"
"IRT","Nostrand","(40.639967, -73.948411)"
"IRT","Nostrand","(40.632836, -73.947642)"
"BMT","Brighton","(40.625039, -73.960803)"
"BMT","Brighton","(40.62927, -73.961639)"
"BMT","Brighton","(40.635082, -73.962793)"
"IND","Culver","(40.636119, -73.978172)"
"IND","Culver","(40.625322, -73.976127)"
"IND","Culver","(40.629755, -73.976971)"
"BMT","West End","(40.626472, -73.996895)"
"BMT","West End","(40.631435, -73.995476)"
"BMT","West End","(40.63626, -73.994791)"
"BMT","West End","(40.640914, -73.994304)"
"BMT","West End","(40.646292, -73.994324)"
"IND","6 Avenue","(40.644041, -73.979678)"
"IND","6 Avenue","(40.650782, -73.975776)"
"BMT","4 Avenue","(40.660397, -73.998091)"
"BMT","4 Avenue","(40.665414, -73.992872)"
"IND","6 Avenue","(40.670272, -73.989779)"
"BMT","4 Avenue","(40.670847, -73.988302)"
